  2.3174  2.2194  2.3000  2.2049  2.2053  2.2225  2.5345  2.5599  2.4824  2.4512  2.3872  2.3165  2.3172
  2.3330  2.5272  2.4338  2.4367  2.3703  2.5035  2.3533  2.4360  2.3063  2.4364  2.3299  2.3671  2.2291
  2.3836  2.4027  2.2936  2.0971  2.4516  2.3342  2.3996  2.3654  2.5187  2.3619  2.3643  2.4016  2.4140
  2.1495  2.1813  2.2546  2.4641  2.3531  2.3072  2.3929  2.3663  2.3114  2.1790  2.3275  2.2784  2.2045
  2.2702  2.2384  2.3259  2.3689  2.3129  2.3814  2.4598  2.4746  2.2729  2.3590  2.4166  2.3138  2.2584
  2.3753  2.1676  2.2221  2.2697  2.1863  2.2013  2.3151  2.3518  2.2541  2.2824  2.3185  2.3596  2.3267
  2.2903  2.2485  2.3675  2.1454  2.3040  2.3166  2.3547  2.2683  2.3255  2.2721  2.2042  2.3294  2.4381
  2.3586  2.4869  2.2032  2.2389  2.4063  2.3735  2.2360  2.2120  2.4574  2.3482  2.3535  2.2937  2.4436
  2.4947  2.5267  2.5029  2.4258  2.2854  2.2910  2.3113  2.2642  2.2185  2.3728  2.3646  2.2368  2.2543
  2.2432  2.1913  2.4338  2.4203  2.1605  2.1218  2.2569  2.3493  2.1627  2.3144  2.4526  2.4799  2.3753
  2.2356  2.2054  2.3280  2.2638  2.1940  2.1452  2.2103  2.2646  2.1638  2.4005  2.2225  2.4563  2.3375
  2.4185  2.4533  2.4053  2.4847  2.4472  2.4089  2.3489  2.4378  2.3689  2.3157  2.2705  2.4333  2.3294
  2.3542  2.4412  2.4474  2.4181  2.4532  2.4594  2.4325  2.5156  2.4191  2.3163  2.2278  2.3809  2.2014
