  2.6348  2.4388  2.6000  2.4098  2.4107  2.4450  3.0691  3.1198  2.9648  2.9024  2.7744  2.6329  2.6343
  2.6659  3.0543  2.8676  2.8734  2.7406  3.0070  2.7066  2.8720  2.6127  2.8728  2.6599  2.7343  2.4582
  2.7672  2.8054  2.5872  2.1943  2.9032  2.6684  2.7992  2.7309  3.0373  2.7237  2.7286  2.8032  2.8280
  2.2990  2.3625  2.5093  2.9282  2.7062  2.6144  2.7858  2.7326  2.6228  2.3580  2.6550  2.5568  2.4089
  2.5404  2.4767  2.6519  2.7379  2.6259  2.7627  2.9196  2.9492  2.5459  2.7180  2.8332  2.6276  2.5167
  2.7506  2.3352  2.4442  2.5394  2.3726  2.4025  2.6302  2.7036  2.5082  2.5648  2.6371  2.7192  2.6534
  2.5805  2.4970  2.7349  2.2908  2.6080  2.6331  2.7094  2.5367  2.6510  2.5442  2.4084  2.6588  2.8762
  2.7173  2.9738  2.4064  2.4777  2.8125  2.7470  2.4719  2.4240  2.9149  2.6965  2.7071  2.5873  2.8871
  2.9893  3.0534  3.0059  2.8516  2.5708  2.5820  2.6227  2.5284  2.4371  2.7457  2.7292  2.4737  2.5085
  2.4865  2.3826  2.8676  2.8407  2.3211  2.2436  2.5139  2.6986  2.3255  2.6287  2.9052  2.9598  2.7507
  2.4711  2.4107  2.6560  2.5275  2.3880  2.2904  2.4206  2.5292  2.3276  2.8011  2.4449  2.9126  2.6750
  2.8369  2.9066  2.8106  2.9694  2.8943  2.8178  2.6979  2.8757  2.7378  2.6314  2.5411  2.8666  2.6587
  2.7084  2.8824  2.8948  2.8361  2.9064  2.9188  2.8649  3.0311  2.8383  2.6326  2.4556  2.7617  2.4027
